Date,BOC_Rate,ID
3/1/2012,1,147
4/1/2012,1,148
5/1/2012,1,149
6/1/2012,1,150
7/1/2012,1,151
8/1/2012,1,152
9/1/2012,1,153
10/1/2012,1,154
11/1/2012,1,155
12/1/2012,1,156
1/1/2013,1,157
2/1/2013,1,158
3/1/2013,1,159
4/1/2013,1,160
5/1/2013,1,161
6/1/2013,1,162
7/1/2013,1,163
8/1/2013,1,164
9/1/2013,1,165
10/1/2013,1,166
11/1/2013,1,167
12/1/2013,1,168
1/1/2014,1,169
2/1/2014,1,170
3/1/2014,1,171
4/1/2014,1,172
5/1/2014,1,173
6/1/2014,1,174
7/1/2014,1,175
8/1/2014,1,176
9/1/2014,1,177
10/1/2014,1,178
11/1/2014,1,179
12/1/2014,1,180
1/1/2015,0.91,181
2/1/2015,0.75,182
3/1/2015,0.75,183
4/1/2015,0.75,184
5/1/2015,0.75,185
6/1/2015,0.75,186
7/1/2015,0.61,187
8/1/2015,0.5,188
9/1/2015,0.5,189
10/1/2015,0.5,190
11/1/2015,0.5,191
12/1/2015,0.5,192
1/1/2016,0.5,193
2/1/2016,0.5,194
3/1/2016,0.5,195
4/1/2016,0.5,196
5/1/2016,0.5,197
6/1/2016,0.5,198
7/1/2016,0.5,199
8/1/2016,0.5,200
9/1/2016,0.5,201
10/1/2016,0.5,202
11/1/2016,0.5,203
12/1/2016,0.5,204
1/1/2017,0.5,205
2/1/2017,0.5,206
3/1/2017,0.5,207
4/1/2017,0.5,208
5/1/2017,0.5,209
6/1/2017,0.5,210
7/1/2017,0.67,211
8/1/2017,0.75,212
9/1/2017,0.96,213
10/1/2017,1,214
11/1/2017,1,215
12/1/2017,1,216
1/1/2018,1.12,217
2/1/2018,1.25,218
3/1/2018,1.25,219
4/1/2018,1.25,220
5/1/2018,1.25,221
6/1/2018,1.25,222
7/1/2018,1.42,223
8/1/2018,1.5,224
9/1/2018,1.5,225
10/1/2018,1.57,226
11/1/2018,1.75,227
12/1/2018,1.75,228
1/1/2019,1.75,229
2/1/2019,1.75,230
3/1/2019,1.75,231
4/1/2019,1.75,232
5/1/2019,1.75,233
6/1/2019,1.75,234
7/1/2019,1.75,235
8/1/2019,1.75,236
9/1/2019,1.75,237
10/1/2019,1.75,238
11/1/2019,1.75,239
12/1/2019,1.75,240
1/1/2020,1.75,241
2/1/2020,1.75,242
3/1/2020,0.95,243
4/1/2020,0.25,244
5/1/2020,0.25,245
6/1/2020,0.25,246
7/1/2020,0.25,247
8/1/2020,0.25,248
9/1/2020,0.25,249
10/1/2020,0.25,250
11/1/2020,0.25,251
12/1/2020,0.25,252
1/1/2021,0.25,253
2/1/2021,0.25,254
3/1/2021,0.25,255
4/1/2021,0.25,256
5/1/2021,0.25,257
6/1/2021,0.25,258
7/1/2021,0.25,259
8/1/2021,0.25,260
9/1/2021,0.25,261
10/1/2021,0.25,262
11/1/2021,0.25,263
12/1/2021,0.25,264
1/1/2022,0.25,265
2/1/2022,0.25,266
3/1/2022,0.48,267
4/1/2022,0.79,268
5/1/2022,1,269
6/1/2022,1.48,270
7/1/2022,2.07,271
8/1/2022,2.5,272
9/1/2022,3.07,273
10/1/2022,3.32,274
11/1/2022,3.75,275
12/1/2022,4.13,276
1/1/2023,4.3,277
2/1/2023,4.5,278
3/1/2023,4.5,279
4/1/2023,4.5,280
5/1/2023,4.5,281
6/1/2023,4.69,282
7/1/2023,4.9,283
8/1/2023,5,284
9/1/2023,5,285
10/1/2023,5,286
11/1/2023,5,287
12/1/2023,5,288
1/1/2024,5,289
2/1/2024,5,290
3/1/2024,5,291
4/1/2024,5,292
5/1/2024,5,293
6/1/2024,4.79,294
7/1/2024,4.7,295
8/1/2024,4.5,296
9/1/2024,4.29,297
10/1/2024,4.12,298
11/1/2024,3.75,299
12/1/2024,3.43,300
1/1/2025,3.23,301
2/1/2025,3,302
3/1/2025,2.85,303
4/1/2025,2.75,304
5/1/2025,2.75,305
6/1/2025,2.75,306
7/1/2025,2.75,307
8/1/2025,2.75,308
9/1/2025,2.73,309
