"Date","Week","Month","Year","Location","Rate"
"03/25/2025","12","3","2025","Cincinnati","433.13"
"03/25/2025","12","3","2025","Cairo-Memphis","365.00"
"03/25/2025","12","3","2025","Lower Ohio","433.00"
"03/25/2025","12","3","2025","St. Louis","451.56"
"03/25/2025","12","3","2025","Lower Illinois","597.50"
"03/25/2025","12","3","2025","Mid-Mississippi","592.00"
"03/25/2025","12","3","2025","Twin Cities","606.00"
"03/18/2025","11","3","2025","Twin Cities",
"03/18/2025","11","3","2025","Cairo-Memphis","348.75"
"03/18/2025","11","3","2025","Lower Ohio","429.38"
"03/18/2025","11","3","2025","Cincinnati","429.38"
"03/18/2025","11","3","2025","St. Louis","443.44"
"03/18/2025","11","3","2025","Lower Illinois","574.69"
"03/18/2025","11","3","2025","Mid-Mississippi","566.00"
"03/11/2025","10","3","2025","Mid-Mississippi","572.00"
"03/11/2025","10","3","2025","Cairo-Memphis","356.88"
"03/11/2025","10","3","2025","Lower Ohio","452.19"
"03/11/2025","10","3","2025","Cincinnati","452.19"
"03/11/2025","10","3","2025","St. Louis","434.06"
"03/11/2025","10","3","2025","Lower Illinois","576.56"
"03/11/2025","10","3","2025","Twin Cities",
"03/04/2025","9","3","2025","Mid-Mississippi","540.00"
"03/04/2025","9","3","2025","Cairo-Memphis","348.21"
"03/04/2025","9","3","2025","Lower Ohio","479.64"
"03/04/2025","9","3","2025","Cincinnati","479.64"
"03/04/2025","9","3","2025","St. Louis","459.82"
"03/04/2025","9","3","2025","Lower Illinois","555.36"
"03/04/2025","9","3","2025","Twin Cities",
"02/25/2025","8","2","2025","Twin Cities",
"02/25/2025","8","2","2025","Cairo-Memphis","359.72"
"02/25/2025","8","2","2025","Lower Ohio","484.69"
"02/25/2025","8","2","2025","Cincinnati","484.69"
"02/25/2025","8","2","2025","St. Louis","462.22"
"02/25/2025","8","2","2025","Lower Illinois","543.89"
"02/25/2025","8","2","2025","Mid-Mississippi",
"02/18/2025","7","2","2025","Twin Cities",
"02/18/2025","7","2","2025","Cairo-Memphis","362.08"
"02/18/2025","7","2","2025","Lower Ohio","491.67"
"02/18/2025","7","2","2025","Cincinnati","491.67"
"02/18/2025","7","2","2025","St. Louis","468.75"
"02/18/2025","7","2","2025","Lower Illinois","543.33"
"02/18/2025","7","2","2025","Mid-Mississippi",
"02/11/2025","6","2","2025","Mid-Mississippi",
"02/11/2025","6","2","2025","Cairo-Memphis","343.75"
"02/11/2025","6","2","2025","Lower Ohio","435.42"
"02/11/2025","6","2","2025","Cincinnati","435.42"
"02/11/2025","6","2","2025","St. Louis","472.92"
"02/11/2025","6","2","2025","Lower Illinois","539.58"
"02/11/2025","6","2","2025","Twin Cities",
"02/04/2025","5","2","2025","Mid-Mississippi",
"02/04/2025","5","2","2025","Cairo-Memphis","294.17"
"02/04/2025","5","2","2025","Lower Ohio","378.89"
"02/04/2025","5","2","2025","Cincinnati","378.89"
"02/04/2025","5","2","2025","St. Louis","398.33"
"02/04/2025","5","2","2025","Lower Illinois","541.94"
"02/04/2025","5","2","2025","Twin Cities",
"01/28/2025","4","1","2025","Lower Illinois","517.81"
"01/28/2025","4","1","2025","Cairo-Memphis","264.06"
"01/28/2025","4","1","2025","Lower Ohio","355.94"
"01/28/2025","4","1","2025","Twin Cities",
"01/28/2025","4","1","2025","Cincinnati","355.94"
"01/28/2025","4","1","2025","St. Louis","370.00"
"01/28/2025","4","1","2025","Mid-Mississippi",
"01/21/2025","3","1","2025","Cincinnati","356.25"
"01/21/2025","3","1","2025","Cairo-Memphis","252.08"
"01/21/2025","3","1","2025","Lower Ohio","356.25"
"01/21/2025","3","1","2025","St. Louis","370.00"
"01/21/2025","3","1","2025","Lower Illinois","505.83"
"01/21/2025","3","1","2025","Mid-Mississippi",
"01/21/2025","3","1","2025","Twin Cities",
"01/14/2025","2","1","2025","Twin Cities",
"01/14/2025","2","1","2025","Cairo-Memphis","262.81"
"01/14/2025","2","1","2025","Lower Ohio","350.31"
"01/14/2025","2","1","2025","Cincinnati","350.31"
"01/14/2025","2","1","2025","St. Louis","375.47"
"01/14/2025","2","1","2025","Lower Illinois","510.31"
"01/14/2025","2","1","2025","Mid-Mississippi",
"01/07/2025","1","1","2025","Mid-Mississippi",
"01/07/2025","1","1","2025","Cairo-Memphis","292.19"
"01/07/2025","1","1","2025","Lower Ohio","392.19"
"01/07/2025","1","1","2025","Cincinnati","392.19"
"01/07/2025","1","1","2025","St. Louis","381.56"
"01/07/2025","1","1","2025","Lower Illinois","509.69"
"01/07/2025","1","1","2025","Twin Cities",
"12/31/2024","52","12","2024","Mid-Mississippi",
"12/31/2024","52","12","2024","Cairo-Memphis","305.50"
"12/31/2024","52","12","2024","Lower Ohio","410.00"
"12/31/2024","52","12","2024","Cincinnati","410.00"
"12/31/2024","52","12","2024","St. Louis","385.00"
"12/31/2024","52","12","2024","Lower Illinois","511.50"
"12/31/2024","52","12","2024","Twin Cities",
"12/24/2024","51","12","2024","Cincinnati","418.75"
"12/24/2024","51","12","2024","Cairo-Memphis","303.33"
"12/24/2024","51","12","2024","Lower Ohio","418.75"
"12/24/2024","51","12","2024","St. Louis","393.54"
"12/24/2024","51","12","2024","Lower Illinois","507.92"
"12/24/2024","51","12","2024","Mid-Mississippi",
"12/24/2024","51","12","2024","Twin Cities",
"12/17/2024","50","12","2024","Twin Cities",
"12/17/2024","50","12","2024","Cairo-Memphis","308.75"
"12/17/2024","50","12","2024","Lower Ohio","412.92"
"12/17/2024","50","12","2024","Cincinnati","412.92"
"12/17/2024","50","12","2024","St. Louis","390.42"
"12/17/2024","50","12","2024","Lower Illinois","507.92"
"12/17/2024","50","12","2024","Mid-Mississippi","517.00"
"12/10/2024","49","12","2024","Mid-Mississippi","522.00"
"12/10/2024","49","12","2024","Cairo-Memphis","322.19"
"12/10/2024","49","12","2024","Lower Ohio","399.06"
"12/10/2024","49","12","2024","Cincinnati","399.06"
"12/10/2024","49","12","2024","St. Louis","391.88"
"12/10/2024","49","12","2024","Lower Illinois","494.69"
"12/10/2024","49","12","2024","Twin Cities",
"12/03/2024","48","12","2024","Lower Illinois","495.00"
"12/03/2024","48","12","2024","Cairo-Memphis","325.42"
"12/03/2024","48","12","2024","Lower Ohio","396.67"
"12/03/2024","48","12","2024","Twin Cities",
"12/03/2024","48","12","2024","Cincinnati","396.67"
"12/03/2024","48","12","2024","St. Louis","386.04"
"12/03/2024","48","12","2024","Mid-Mississippi","525.00"
"11/26/2024","47","11","2024","Twin Cities",
"11/26/2024","47","11","2024","Cairo-Memphis","335.42"
"11/26/2024","47","11","2024","Lower Ohio","432.50"
"11/26/2024","47","11","2024","Cincinnati","432.50"
"11/26/2024","47","11","2024","St. Louis","399.17"
"11/26/2024","47","11","2024","Lower Illinois","534.58"
"11/26/2024","47","11","2024","Mid-Mississippi","533.00"
"11/19/2024","46","11","2024","Twin Cities","585.00"
"11/19/2024","46","11","2024","Cairo-Memphis","355.00"
"11/19/2024","46","11","2024","Lower Ohio","450.00"
"11/19/2024","46","11","2024","Cincinnati","450.00"
"11/19/2024","46","11","2024","St. Louis","407.19"
"11/19/2024","46","11","2024","Lower Illinois","537.19"
"11/19/2024","46","11","2024","Mid-Mississippi","553.00"
"11/12/2024","45","11","2024","Mid-Mississippi","588.00"
"11/12/2024","45","11","2024","Cairo-Memphis","378.44"
"11/12/2024","45","11","2024","Lower Ohio","520.31"
"11/12/2024","45","11","2024","Cincinnati","520.31"
"11/12/2024","45","11","2024","St. Louis","445.31"
"11/12/2024","45","11","2024","Lower Illinois","561.25"
"11/12/2024","45","11","2024","Twin Cities","625.00"
"11/05/2024","44","11","2024","Mid-Mississippi","668.00"
"11/05/2024","44","11","2024","Cairo-Memphis","547.22"
"11/05/2024","44","11","2024","Lower Ohio","663.89"
"11/05/2024","44","11","2024","Cincinnati","663.89"
"11/05/2024","44","11","2024","St. Louis","593.06"
"11/05/2024","44","11","2024","Lower Illinois","644.44"
"11/05/2024","44","11","2024","Twin Cities","680.00"
"10/29/2024","43","10","2024","Twin Cities","782.00"
"10/29/2024","43","10","2024","Cairo-Memphis","689.29"
"10/29/2024","43","10","2024","Lower Ohio","801.79"
"10/29/2024","43","10","2024","Cincinnati","801.79"
"10/29/2024","43","10","2024","St. Louis","848.21"
"10/29/2024","43","10","2024","Lower Illinois","871.43"
"10/29/2024","43","10","2024","Mid-Mississippi","879.00"
"10/22/2024","42","10","2024","Twin Cities","730.00"
"10/22/2024","42","10","2024","Cairo-Memphis","542.86"
"10/22/2024","42","10","2024","Lower Ohio","739.64"
"10/22/2024","42","10","2024","Cincinnati","739.64"
"10/22/2024","42","10","2024","St. Louis","753.57"
"10/22/2024","42","10","2024","Lower Illinois","791.07"
"10/22/2024","42","10","2024","Mid-Mississippi","763.00"
"10/15/2024","41","10","2024","Mid-Mississippi","770.00"
"10/15/2024","41","10","2024","Cairo-Memphis","578.57"
"10/15/2024","41","10","2024","Lower Ohio","754.64"
"10/15/2024","41","10","2024","Cincinnati","754.64"
"10/15/2024","41","10","2024","St. Louis","682.86"
"10/15/2024","41","10","2024","Lower Illinois","789.64"
"10/15/2024","41","10","2024","Twin Cities","750.00"
"10/08/2024","40","10","2024","Mid-Mississippi","831.00"
"10/08/2024","40","10","2024","Cairo-Memphis","665.63"
"10/08/2024","40","10","2024","Lower Ohio","812.19"
"10/08/2024","40","10","2024","Cincinnati","812.19"
"10/08/2024","40","10","2024","St. Louis","781.56"
"10/08/2024","40","10","2024","Lower Illinois","815.94"
"10/08/2024","40","10","2024","Twin Cities","792.00"
"10/01/2024","39","10","2024","Mid-Mississippi","834.00"
"10/01/2024","39","10","2024","Cairo-Memphis","696.43"
"10/01/2024","39","10","2024","Lower Ohio","810.71"
"10/01/2024","39","10","2024","Cincinnati","810.71"
"10/01/2024","39","10","2024","St. Louis","750.00"
"10/01/2024","39","10","2024","Lower Illinois","808.93"
"10/01/2024","39","10","2024","Twin Cities","790.00"
"09/24/2024","38","9","2024","Twin Cities","734.00"
"09/24/2024","38","9","2024","Cairo-Memphis","725.00"
"09/24/2024","38","9","2024","Lower Ohio","796.88"
"09/24/2024","38","9","2024","Cincinnati","796.88"
"09/24/2024","38","9","2024","St. Louis","735.94"
"09/24/2024","38","9","2024","Lower Illinois","789.06"
"09/24/2024","38","9","2024","Mid-Mississippi","775.00"
"09/17/2024","37","9","2024","Twin Cities","734.00"
"09/17/2024","37","9","2024","Cairo-Memphis","817.86"
"09/17/2024","37","9","2024","Lower Ohio","806.79"
"09/17/2024","37","9","2024","Cincinnati","806.79"
"09/17/2024","37","9","2024","St. Louis","810.71"
"09/17/2024","37","9","2024","Lower Illinois","792.50"
"09/17/2024","37","9","2024","Mid-Mississippi","784.00"
"09/10/2024","36","9","2024","Mid-Mississippi","758.00"
"09/10/2024","36","9","2024","Cairo-Memphis","807.81"
"09/10/2024","36","9","2024","Lower Ohio","778.13"
"09/10/2024","36","9","2024","Cincinnati","778.13"
"09/10/2024","36","9","2024","St. Louis","793.75"
"09/10/2024","36","9","2024","Lower Illinois","764.06"
"09/10/2024","36","9","2024","Twin Cities","714.00"
"09/03/2024","35","9","2024","Mid-Mississippi","680.00"
"09/03/2024","35","9","2024","Cairo-Memphis","765.63"
"09/03/2024","35","9","2024","Lower Ohio","700.94"
"09/03/2024","35","9","2024","Cincinnati","700.94"
"09/03/2024","35","9","2024","St. Louis","689.06"
"09/03/2024","35","9","2024","Lower Illinois","671.88"
"09/03/2024","35","9","2024","Twin Cities","659.00"
"08/27/2024","34","8","2024","Twin Cities","642.00"
"08/27/2024","34","8","2024","Cairo-Memphis","731.25"
"08/27/2024","34","8","2024","Lower Ohio","615.63"
"08/27/2024","34","8","2024","Cincinnati","615.63"
"08/27/2024","34","8","2024","St. Louis","617.19"
"08/27/2024","34","8","2024","Lower Illinois","614.06"
"08/27/2024","34","8","2024","Mid-Mississippi","642.00"
"08/20/2024","33","8","2024","Twin Cities","598.00"
"08/20/2024","33","8","2024","Cairo-Memphis","642.86"
"08/20/2024","33","8","2024","Lower Ohio","530.36"
"08/20/2024","33","8","2024","Cincinnati","530.36"
"08/20/2024","33","8","2024","St. Louis","528.57"
"08/20/2024","33","8","2024","Lower Illinois","528.57"
"08/20/2024","33","8","2024","Mid-Mississippi","539.00"
"08/13/2024","32","8","2024","Mid-Mississippi","483.00"
"08/13/2024","32","8","2024","Cairo-Memphis","357.14"
"08/13/2024","32","8","2024","Lower Ohio","445.00"
"08/13/2024","32","8","2024","Cincinnati","445.00"
"08/13/2024","32","8","2024","St. Louis","377.14"
"08/13/2024","32","8","2024","Lower Illinois","451.07"
"08/13/2024","32","8","2024","Twin Cities","555.00"
"08/06/2024","31","8","2024","Mid-Mississippi","468.00"
"08/06/2024","31","8","2024","Cairo-Memphis","304.44"
"08/06/2024","31","8","2024","Lower Ohio","446.94"
"08/06/2024","31","8","2024","Cincinnati","446.94"
"08/06/2024","31","8","2024","St. Louis","351.25"
"08/06/2024","31","8","2024","Lower Illinois","442.50"
"08/06/2024","31","8","2024","Twin Cities","572.00"
"07/30/2024","30","7","2024","Mid-Mississippi","464.00"
"07/30/2024","30","7","2024","Cairo-Memphis","255.00"
"07/30/2024","30","7","2024","Lower Ohio","439.64"
"07/30/2024","30","7","2024","Cincinnati","439.64"
"07/30/2024","30","7","2024","St. Louis","313.93"
"07/30/2024","30","7","2024","Lower Illinois","434.64"
"07/30/2024","30","7","2024","Twin Cities","551.00"
"07/23/2024","29","7","2024","Cincinnati","385.71"
"07/23/2024","29","7","2024","Cairo-Memphis","235.71"
"07/23/2024","29","7","2024","Lower Ohio","385.71"
"07/23/2024","29","7","2024","St. Louis","305.00"
"07/23/2024","29","7","2024","Lower Illinois","425.71"
"07/23/2024","29","7","2024","Mid-Mississippi","430.00"
"07/23/2024","29","7","2024","Twin Cities","496.00"
"07/16/2024","28","7","2024","Twin Cities","456.00"
"07/16/2024","28","7","2024","Cairo-Memphis","218.93"
"07/16/2024","28","7","2024","Lower Ohio","263.57"
"07/16/2024","28","7","2024","Cincinnati","263.57"
"07/16/2024","28","7","2024","St. Louis","260.00"
"07/16/2024","28","7","2024","Lower Illinois","360.36"
"07/16/2024","28","7","2024","Mid-Mississippi","375.00"
"07/09/2024","27","7","2024","Mid-Mississippi","366.00"
"07/09/2024","27","7","2024","Cairo-Memphis","212.19"
"07/09/2024","27","7","2024","Lower Ohio","243.13"
"07/09/2024","27","7","2024","Cincinnati","243.13"
"07/09/2024","27","7","2024","St. Louis","215.94"
"07/09/2024","27","7","2024","Lower Illinois","318.75"
"07/09/2024","27","7","2024","Twin Cities","443.00"
"07/02/2024","26","7","2024","Mid-Mississippi","351.00"
"07/02/2024","26","7","2024","Cairo-Memphis","202.50"
"07/02/2024","26","7","2024","Lower Ohio","244.06"
"07/02/2024","26","7","2024","Cincinnati","244.06"
"07/02/2024","26","7","2024","St. Louis","215.31"
"07/02/2024","26","7","2024","Lower Illinois","317.50"
"07/02/2024","26","7","2024","Twin Cities","405.00"
"06/25/2024","25","6","2024","Twin Cities","383.00"
"06/25/2024","25","6","2024","Cairo-Memphis","202.22"
"06/25/2024","25","6","2024","Lower Ohio","245.56"
"06/25/2024","25","6","2024","Cincinnati","245.56"
"06/25/2024","25","6","2024","St. Louis","213.75"
"06/25/2024","25","6","2024","Lower Illinois","309.72"
"06/25/2024","25","6","2024","Mid-Mississippi","343.00"
"06/18/2024","24","6","2024","Twin Cities","378.00"
"06/18/2024","24","6","2024","Cairo-Memphis","202.00"
"06/18/2024","24","6","2024","Lower Ohio","245.00"
"06/18/2024","24","6","2024","Cincinnati","245.00"
"06/18/2024","24","6","2024","St. Louis","216.50"
"06/18/2024","24","6","2024","Lower Illinois","316.00"
"06/18/2024","24","6","2024","Mid-Mississippi","334.00"
"06/11/2024","23","6","2024","Mid-Mississippi","338.00"
"06/11/2024","23","6","2024","Cairo-Memphis","203.13"
"06/11/2024","23","6","2024","Lower Ohio","248.75"
"06/11/2024","23","6","2024","Cincinnati","248.75"
"06/11/2024","23","6","2024","St. Louis","222.19"
"06/11/2024","23","6","2024","Lower Illinois","316.88"
"06/11/2024","23","6","2024","Twin Cities","368.00"
"06/04/2024","22","6","2024","Mid-Mississippi","331.00"
"06/04/2024","22","6","2024","Cairo-Memphis","203.13"
"06/04/2024","22","6","2024","Lower Ohio","245.63"
"06/04/2024","22","6","2024","Cincinnati","245.63"
"06/04/2024","22","6","2024","St. Louis","217.19"
"06/04/2024","22","6","2024","Lower Illinois","314.69"
"06/04/2024","22","6","2024","Twin Cities","363.00"
"05/28/2024","21","5","2024","St. Louis","220.94"
"05/28/2024","21","5","2024","Cairo-Memphis","205.31"
"05/28/2024","21","5","2024","Lower Ohio","246.88"
"05/28/2024","21","5","2024","Mid-Mississippi","340.00"
"05/28/2024","21","5","2024","Twin Cities","359.00"
"05/28/2024","21","5","2024","Cincinnati","246.88"
"05/28/2024","21","5","2024","Lower Illinois","315.31"
"05/21/2024","20","5","2024","Twin Cities","366.00"
"05/21/2024","20","5","2024","Cairo-Memphis","205.31"
"05/21/2024","20","5","2024","Lower Ohio","261.25"
"05/21/2024","20","5","2024","Cincinnati","261.25"
"05/21/2024","20","5","2024","St. Louis","230.63"
"05/21/2024","20","5","2024","Lower Illinois","319.69"
"05/21/2024","20","5","2024","Mid-Mississippi","339.00"
"05/14/2024","19","5","2024","Twin Cities","360.00"
"05/14/2024","19","5","2024","Cairo-Memphis","209.06"
"05/14/2024","19","5","2024","Lower Ohio","263.13"
"05/14/2024","19","5","2024","Cincinnati","263.13"
"05/14/2024","19","5","2024","St. Louis","246.56"
"05/14/2024","19","5","2024","Lower Illinois","333.75"
"05/14/2024","19","5","2024","Mid-Mississippi","344.00"
"05/07/2024","18","5","2024","Mid-Mississippi","325.00"
"05/07/2024","18","5","2024","Cairo-Memphis","202.50"
"05/07/2024","18","5","2024","Lower Ohio","256.25"
"05/07/2024","18","5","2024","Cincinnati","256.25"
"05/07/2024","18","5","2024","St. Louis","228.75"
